pair_id,nct_id,pmid,registered_endpoint,published_endpoint,gold_switch_type,gold_direction,notes
NCT01086605_35445723,NCT01086605,35445723,Proportion of Confirmed Tumor Responses (Complete or Partial Response) [Time Frame: Up to 5 years],"Forty-five patients were evaluable, with 2 confirmed partial responses in group A and 1 in group B. The trial was terminated due to insufficient activity. Overall median PFS and OS were 2.8 (95% confidence interval [CI]: 2.0-4.1) and 16.8 (95% CI: 8.9-21.6) months, respectively. Notable overall grade 3-4 adverse events were the following: neutrophil count decrease (62%), fatigue (16%), and decrease in ejection fraction (EF) (4%).",concordant,none,Confirmed CR/PR responses reported as registered.
NCT03092934_33479856,NCT03092934,33479856,Phase 1: Maximum Tolerated Dose [Time Frame: Cycle 1 (21 days)] | Phase 2: Percentage of Participants Who Achieved Partial Response (PR) or Complete Response (CR) [Objective Response Rate (ORR)] [Time Frame: Baseline to Objective Disease Progression (Up to 11 months)],"Background Aurora A kinase (AurA) overexpression likely contributes to tumorigenesis and therefore represents an attractive target for cancer therapeutics. This phase 1 study aimed to determine the safety, pharmacokinetics, and antitumor activity of LY3295668 erbumine, an AurA inhibitor, in patients with locally advanced or metastatic solid tumors. Methods Patients with locally advanced or metastatic solid tumors, Eastern Cooperative Oncology Group performance status 0-1, and disease progression after one to four prior treatment regimens were enrolled. Primary objective was to determine maximum tolerated dose (MTD); secondary objectives included evaluation of the tolerability and safety profile and pharmacokinetics of LY3295668. All patients received twice-daily (BID) oral LY3295668 in 21-day cycles in an ascending-dose schedule. Results Twelve patients were enrolled in phase 1 (25 mg, n = 8; 50 mg, n = 2; 75 mg, n = 2) and one patient was enrolled after. Overall, four patients experienced dose-limiting toxicities (DLTs) within the first cycle (75 mg: Grade 3 diarrhea [one patient], Grade 4 mucositis and Grade 3 corneal deposits [one patient]; 50 mg: mucositis and diarrhea [both Grade 3, one patient]; 25 mg: Grade 3 mucositis [one patient]). Patients exhibiting DLTs had the highest model-predicted exposures at steady state. Mucositis was the most common adverse event (67%), followed by diarrhea, fatigue, alopecia, anorexia, constipation, and nausea. Nine patients had best response of stable disease; the disease control rate was 69%. Conclusions MTD of LY3295668 was 25 mg BID. LY3295668 had a manageable toxicity profile and demonstrated activity in some patients with locally advanced or metastatic solid tumors.Trial registration ClinicalTrials.gov, NCT03092934. Registered March 22, 2017. https://clinicaltrials.gov/ct2/show/NCT03092934 .",concordant,none,"Phase 1 paper: MTD is the reported primary, matches registered phase 1 primary."
NCT02732119_33722897,NCT02732119,33722897,Participants With Dose Limiting Toxicities by Preferred Term in Cycle 1 (28 Days) - in Phase I [Time Frame: Baseline up to 28 days] | Clinical Benefit Rate as Per Central Review by Group- Phase II [Time Frame: From baseline up to 24 weeks] | Best Overall Responses (BOR) Summary Table as Per Central Review by Group - Phase II [Time Frame: Baseline up to 24 weeks and at 24 weeks],primary endpoint (predetermined threshold: 10%),concordant,none,"Sparse published text ('primary endpoint, threshold 10%') consistent with a registered response-rate primary; no affirmative evidence of a change."
NCT02993159_37870954,NCT02993159,37870954,Change in Ki-67 Labeling Index [Time Frame: baseline to up to 10 weeks],primary end point analysis (40 in the oral tamoxifen group and 35 in the 4-hydroxytamoxifen gel group),concordant,none,Sparse published text; no affirmative evidence Ki-67 change endpoint was altered.
NCT02102490_28533223,NCT02102490,28533223,Percentage of Participants With Complete Response (CR) or Partial Response (PR) (Objective Response Rate [ORR]) [Time Frame: From Date of First Dose until Disease Progression or Death Due to Any Cause (Up To 14 Months)],"Purpose: The phase II MONARCH 1 study was designed to evaluate the single-agent activity and adverse event (AE) profile of abemaciclib, a selective inhibitor of CDK4 and CDK6, in women with refractory hormone receptor-positive (HR+), HER2- metastatic breast cancer (MBC).Experimental Design: MONARCH 1 was a phase II single-arm open-label study. Women with HR+/HER2- MBC who had progressed on or after prior endocrine therapy and had 1 or 2 chemotherapy regimens in the metastatic setting were eligible. Abemaciclib 200 mg was administered orally on a continuous schedule every 12 hours until disease progression or unacceptable toxicity. The primary objective of MONARCH 1 was investigator-assessed objective response rate (ORR). Other endpoints included clinical benefit rate, progression-free survival (PFS), and overall survival (OS).Results: Patients (n = 132) had a median of 3 (range, 1-8) lines of prior systemic therapy in the metastatic setting, 90.2% had visceral disease, and 50.8% had ≥3 metastatic sites. At the 12-month final analysis, the primary objective of confirmed objective response rate was 19.7% (95% CI, 13.3-27.5; 15% not excluded); clinical benefit rate (CR+PR+SD≥6 months) was 42.4%, median progression-free survival was 6.0 months, and median overall survival was 17.7 months. The most common treatment-emergent AEs of any grade were diarrhea, fatigue, and nausea; discontinuations due to AEs were infrequent (7.6%).Conclusions: In this poor-prognosis, heavily pretreated population with refractory HR+/HER2- metastatic breast cancer, continuous dosing of single-agent abemaciciclib was well tolerated and exhibited promising clinical activity. Clin Cancer Res; 23(17); 5218-24. ©2017 AACR.",concordant,none,MONARCH-1: ORR is the well-established primary; no affirmative evidence of change.
NCT02448771_36215125,NCT02448771,36215125,"Clinical Benefit Rate [Time Frame: Assessed for response for up to 34 months] | Clinical Benefit Rate by ESR1 Genotype [Time Frame: Assessed for response for up to 34 months] | Percent of Participants With All Grade Neutrophil Count Decrease [Time Frame: Baseline, until resolution or for 30 days after the subject's last study visit, up to 43 months.]","primary endpoint, with a clinical benefit rate of 33",concordant,none,Publication reports 'primary endpoint ... clinical benefit rate of 33%' = registered CBR primary.
NCT03620643_35119530,NCT03620643,35119530,"Percentage of Breast Cancer Cohort Participants With Confirmed Response Assessed Using RECIST v1.1 [Time Frame: From Day 1 to Progressive Disease, assessed up to end of study (Approximately 57 months)] | Percentage of Basket Cohort Participants With Confirmed Response Assessed Using RECIST v1.1 [Time Frame: From Day 1 to Progressive Disease, assessed up to end of study (Approximately 57 months)]","Three of 16 patients with early TN ILC and 7/33 with early HER2+ ILC received NAC with pCR rates of 0/3 and 3/5 patients who underwent surgery, respectively. Median DFI was 28.5 months [95% Confidence interval (95%CI) 15-78.8] for TN ILC and not reached (NR) (111.2-NR) for HER2+ early ILC. Five-year OS was 52% (95%CI 23-74%) and 77% (95%CI 58-88%), respectively. Twenty-three patients with advanced TN ILC and 14 patients with advanced HER2+ ILC were identified. Median OS was 18.3 months (95%CI 13.0-32.8 months) and 30.4 months (95%CI 8.8-NR), respectively.",moderate_switch,endpoint_replaced,"Registered confirmed response rate (RECIST); publication reports pCR, DFI and OS instead."
NCT00317720_21730275,NCT00317720,21730275,Optimal Dose of RAD001 in Combination With Trastuzumab (Phase I) [Time Frame: Following two 3 week cycles of therapy] | Clinical Benefit Response Rate (CBR) [Time Frame: 6 weeks],"Among 47 patients, the combination of everolimus and trastuzumab provided partial responses in seven patients (15%) and persistent stable disease (lasting 6 months or longer) in nine patients (19%), resulting in a clinical benefit rate of 34%. The median progression-free survival (PFS) was 4.1 month. Fatigue, infection, and mucositis were the predominant nonhematologic toxicities. Trastuzumab did not have significant influence on the pharmacokinetic profile of everolimus. Patients with PTEN loss demonstrated decreased overall survival (P = .048). However, PFS was not affected by PTEN loss.",minor_modification,definition_changed,Registered CBR at 6 weeks; publication reports CBR with SD >=6 months (changed benefit definition/timeframe).
NCT00423917_23798616,NCT00423917,23798616,Six-month Progression-free Survival (PFS) Rate at 6 Months [Time Frame: at 6 months],"At interim analysis, 20 eligible patients initiated treatment, 11 were progression free and on treatment at 3 months, not meeting the protocol-specified efficacy requirements (at least 12 of 20). Accrual remained open during interim analysis with 36 patients enrolling before final study closure. Among the 33 eligible patients, the median PFS was 6.2 months [95% confidence interval (CI) 3.6-10.1 months]. Of the 18 with measurable disease, 4 (22%) patients (95% CI 6% to 48%) had a confirmed tumor response (1 complete, 3 partial). The most common grade 3/4 adverse events were hypertension 3 (9%) and headache 3 (9%).",minor_modification,definition_changed,Registered 6-month PFS rate; publication reports median PFS instead (metric change of same PFS construct).
NCT00821886_20012354,NCT00821886,20012354,Pathologic Complete Response (pCR) [Time Frame: average18 months],"The epothilone B analogue, ixabepilone, binds to b-tubulin, is effective for taxane-refractory metastatic breast cancer (MBC), and may be given every 3 weeks or weekly. We evaluated the efficacy of weekly ixabepilone (I) plus trastuzumab (T) and carboplatin (C) as first line therapy in HER2 + MBC. Patients with HER2+ (3+ by IHC or FISH amplified) MBC received I (15 mg/m2 IV) and C (area under the curve, AUC = 2 IV) on days 1, 8, and 15 of a 28-day cycle for a maximum of 6 cycles, plus weekly T (4 mg/kg loading dose then 2 mg/kg IV) during chemotherapy then every 3 weeks (6 mg/kg IV) until disease progression. The primary objective was to determine whether the combination was associated with a response rate (RR) of at least 75%. Fifty-nine patients were treated, and 39 had HER2 overexpression confirmed in a central lab (cHER2+). For all treated patients, objective response occurred in 26 patients (44%; 95% CI 31-58%), median time to progression was 8.2 months (95% CI 6.3-9.9), and median overall survival was 34.7 months (95% CI 25.7 to [not reached]). Results were comparable for cHer2? cancers. Grade 3-4 adverse events included neutropenia (49%), thrombocytopenia (14%), fatigue (12%), nausea (7%), diarrhea (7%), and neuropathy (7%). One patient died from treatment complications during cycle 1. Weekly ixabepilone and carboplatin plus trastuzumab have an acceptable toxicity profile, but are not likely to be associated with an RR of 75% in HER2+ MBC. Efficacy appears comparable to paclitaxel, carboplatin, and trastuzumab.",moderate_switch,endpoint_replaced,Registered pCR (a neoadjuvant endpoint) for a metastatic trial; publication reports a response endpoint instead.
